ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 120, AID: 0, Miner created.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 115838, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 115865, AID: 5, Transporter is traveling to miner.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 115878, AID: 15, Foundry finished producing steel ingot. 71 steel ingots are produced.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 115887, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 115992, AID: 10, Smelter started producing Copper ingot. Waiting Ore 2/20.
ThreadID: 00872e736d7f0000, MID: 2, TID: 2, SID: 0, FID: 0, time stamp: 116023, AID: 5, Transporter is traveling to miner.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 116043, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 116060, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 116157, AID: 11, Smelter finished producing Copper ingot. 36 ingots are produced.
ThreadID: 0097ae736d7f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 116174, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 116198, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 116226, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 00872e736d7f0000, MID: 2, TID: 2, SID: 0, FID: 0, time stamp: 116331, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 116341, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 116373, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 116374, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 116390, AID: 5, Transporter is traveling to miner.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 1, FID: 0, time stamp: 116488, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 116491, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 116506, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 116534, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (1/20), iron: (2/20).
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 1, FID: 0, time stamp: 116641, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 1/20.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 116710, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 118344, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 118380, AID: 5, Transporter is traveling to miner.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 118398, AID: 15, Foundry finished producing steel ingot. 72 steel ingots are produced.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 118418, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 118435, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 118550, AID: 5, Transporter is traveling to miner.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 118587, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 118610, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 118700, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 118761, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 118816, AID: 5, Transporter is traveling to miner.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 118855, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 118858, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 118871, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 119010, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (1/20), iron: (2/20).
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 119023, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 119027, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 119043, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 119140, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 119185, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 2/20.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 119185, AID: 15, Foundry finished producing steel ingot. 73 steel ingots are produced.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 119195, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 119217, AID: 5, Transporter is traveling to miner.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 119311, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 119328, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 119375, AID: 5, Transporter is traveling to miner.
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 119377, AID: 10, Smelter started producing Copper ingot. Waiting Ore 2/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 119476, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 119524, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 121317, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 121345, AID: 11, Smelter finished producing Copper ingot. 37 ingots are produced.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 121349, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 121380, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 121380, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 121468, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 121488, AID: 5, Transporter is traveling to miner.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 121516, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (1/20), iron: (2/20).
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 121549, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 121624, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 121628, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 121702, AID: 15, Foundry finished producing steel ingot. 74 steel ingots are produced.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 121710, AID: 5, Transporter is traveling to miner.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 121778, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 1/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 121787, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 121826, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 121949, AID: 5, Transporter is traveling to miner.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 121997, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 122013, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 122016, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 122166, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 122189, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 122189, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 122254, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 122341, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 122360, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 122362, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 122396, AID: 5, Transporter is traveling to miner.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 124114, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 124117, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (1/20), iron: (2/20).
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 124118, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 124268, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 2/20.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 124274, AID: 5, Transporter is traveling to miner.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 124290, AID: 15, Foundry finished producing steel ingot. 75 steel ingots are produced.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 124292, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 124347, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 124440, AID: 10, Smelter started producing Copper ingot. Waiting Ore 2/20.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 124465, AID: 5, Transporter is traveling to miner.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 124518, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 124519, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 124592, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 124611, AID: 11, Smelter finished producing Copper ingot. 38 ingots are produced.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 124675, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 124690, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 124762, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 124771, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 124864, AID: 5, Transporter is traveling to miner.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 124865, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 124879, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 124917, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 124925, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 124929, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 125032, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (1/20), iron: (2/20).
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 125085, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 1/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 125106, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 125216, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 126922, AID: 5, Transporter is traveling to miner.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 126938, AID: 15, Foundry finished producing steel ingot. 76 steel ingots are produced.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 126986, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 126988, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 127079, AID: 5, Transporter is traveling to miner.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 127155, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 127157, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 127230, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 127329, AID: 5, Transporter is traveling to miner.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 127345, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 127386, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 127388, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 127404, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 127543, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 127547, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 127555, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (1/20), iron: (2/20).
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 127560, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 127666, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 127696, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 2/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 127706, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 127727, AID: 15, Foundry finished producing steel ingot. 77 steel ingots are produced.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 127731, AID: 5, Transporter is traveling to miner.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 127837, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 127839, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 127884, AID: 10, Smelter started producing Copper ingot. Waiting Ore 2/20.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 127887, AID: 5, Transporter is traveling to miner.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 128006, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 128009, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 128037, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 129743, AID: 11, Smelter finished producing Copper ingot. 39 ingots are produced.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 129766, AID: 5, Transporter is traveling to miner.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 129768, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 129771, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 129771, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 129909, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 129923, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (1/20), iron: (2/20).
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 129952, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 130064, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 130068, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 130092, AID: 15, Foundry finished producing steel ingot. 78 steel ingots are produced.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 130111, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 130114, AID: 5, Transporter is traveling to miner.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 130218, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 1/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 130228, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 130277, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 130294, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 130391, AID: 5, Transporter is traveling to miner.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 130420, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 1, time stamp: 130442, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 130464, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 130585, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 130617, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 130617, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 130628, AID: 5, Transporter is traveling to miner.
ThreadID: 0097ae736d7f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 130695, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 130738, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 130777, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (1/20), iron: (2/20).
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 132468, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 132472, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00872e736d7f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 132502, AID: 5, Transporter is traveling to miner.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 132504, AID: 15, Foundry finished producing steel ingot. 79 steel ingots are produced.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 132621, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 2/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 132631, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 0077ae726d7f0000, MID: 3, TID: 3, SID: 0, FID: 0, time stamp: 132636, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 132787, AID: 10, Smelter started producing Copper ingot. Waiting Ore 2/20.
